 Produto interno bruto per capita - 2010 a 2013, referęncia 2010 - Săo Paulo
PIB per capita por Município
Período:2013
"Município";"PIB_per_capita"
"353960 PLANALTO";44879,30
"353970 PLATINA";18467,68
"353980 POA";46993,02
"353990 POLONI";17972,18
"354000 POMPEIA";53769,01
"354010 PONGAI";13850,71
"354020 PONTAL";18145,53
"354025 PONTALINDA";13074,59
"354030 PONTES GESTAL";46476,39
"354040 POPULINA";17653,77
"354050 PORANGABA";14906,41
"354060 PORTO FELIZ";25602,36
"354070 PORTO FERREIRA";26945,25
"354075 POTIM";7596,32
"354080 POTIRENDABA";25055,12
"354085 PRACINHA";6588,66
"354090 PRADOPOLIS";31158,94
"354100 PRAIA GRANDE";17207,40
"354105 PRATANIA";15817,92
"354110 PRESIDENTE ALVES";13561,46
"354120 PRESIDENTE BERNARDES";14714,86
"354130 PRESIDENTE EPITACIO";20226,55
"354140 PRESIDENTE PRUDENTE";26167,13
"354150 PRESIDENTE VENCESLAU";14174,50
"354160 PROMISSAO";40950,52
"354165 QUADRA";22414,38
"354170 QUATA";26941,39
"354180 QUEIROZ";62344,08
"354190 QUELUZ";14807,85
"354200 QUINTANA";19124,61
"354210 RAFARD";21227,57
"354220 RANCHARIA";30608,65
"354230 REDENCAO DA SERRA";11136,15
"354240 REGENTE FEIJO";26027,35
"354250 REGINOPOLIS";10354,69
"354260 REGISTRO";29005,76
"354270 RESTINGA";16992,80
"354280 RIBEIRA";8611,78
"354290 RIBEIRAO BONITO";18925,72
"354300 RIBEIRAO BRANCO";17024,33
"354310 RIBEIRAO CORRENTE";15616,98
"354320 RIBEIRAO DO SUL";19649,54
"354323 RIBEIRAO DOS INDIOS";13835,42
"354325 RIBEIRAO GRANDE";26888,24
"354330 RIBEIRAO PIRES";22380,19
"354340 RIBEIRAO PRETO";36194,42
"354350 RIVERSUL";7136,74
"354360 RIFAINA";33400,28
"354370 RINCAO";14038,13
"354380 RINOPOLIS";15042,78
"354390 RIO CLARO";38944,11
"354400 RIO DAS PEDRAS";35329,55
"354410 RIO GRANDE DA SERRA";11057,29
"354420 RIOLANDIA";12725,77
"354425 ROSANA";54404,11
"354430 ROSEIRA";20449,02
"354440 RUBIACEA";15166,87
"354450 RUBINEIA";16762,25
"354460 SABINO";16433,97
"354470 SAGRES";13481,72
"354480 SALES";15781,64
"354490 SALES OLIVEIRA";23370,05
"354500 SALESOPOLIS";10021,33
"354510 SALMOURAO";11049,70
"354515 SALTINHO";23446,92
"354520 SALTO";44515,03
"354530 SALTO DE PIRAPORA";29113,86
"354540 SALTO GRANDE";15411,15
"354550 SANDOVALINA";46064,53
"354560 SANTA ADELIA";17090,90
"354570 SANTA ALBERTINA";23513,51
"354580 SANTA BARBARA D'OESTE";27241,91
"354600 SANTA BRANCA";16479,78
"354610 SANTA CLARA D'OESTE";21471,68
"354620 SANTA CRUZ DA CONCEICAO";29231,98
"354625 SANTA CRUZ DA ESPERANCA";16178,01
"354630 SANTA CRUZ DAS PALMEIRAS";11738,15
"354640 SANTA CRUZ DO RIO PARDO";31247,54
"354650 SANTA ERNESTINA";13272,15
